id,name,email,date_participated,prize100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,iPhone X
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,Samsung Galaxy Note 8
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,Google Home
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,MacBook Pro 2017
100452,Rey Stroman,Ubaldo.Waelchi@edward.io,5/15/2018 2:32:30 AM,Audi A4
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,Sony LED TV
100452,Rey Stroman,Ubaldo.Waelchi@edward.io,5/15/2018 2:32:30 AM,Canon DSLR 600D
100452,Rey Stroman,Ubaldo.Waelchi@edward.io,5/15/2018 2:32:30 AM,Samsung QLED TV
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,Smart Watch
100452,Rey Stroman,Ubaldo.Waelchi@edward.io,5/15/2018 2:32:30 AM,Platinum Jewellery
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,Bose Speakers
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,VR Device
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,Nikon DSLR 5300
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,Fitness Kit
100393,Vergie Weimann,Lacey@jonathan.info,5/15/2018 11:56:52 AM,Tickets for FIFA World Cup
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,Home Decor
100453,Noelia Brekke,Carol@adriana.tv,5/13/2018 12:42:01 AM,Beach Holiday
100452,Rey Stroman,Ubaldo.Waelchi@edward.io,5/15/2018 2:32:30 AM,XBox
